0,1.561927
1,1.560519
2,1.556306
3,1.549319
4,1.539614
5,1.527262
6,1.512356
7,1.495006
8,1.475338
9,1.453492
10,1.429618
11,1.403878
12,1.376442
13,1.347484
14,1.31718
15,1.285711
16,1.253253
17,1.219982
18,1.186069
19,1.151679
20,1.116969
21,1.082091
22,1.047184
23,1.01238
24,0.9777996
25,0.9435535
26,0.9097417
27,0.8764536
28,0.8437681
29,0.811754
30,0.7804706
31,0.7499676
32,0.7202858
33,0.6914581
34,0.6635094
35,0.6364578
36,0.6103147
37,0.5850859
38,0.5607717
39,0.5373679
40,0.5148662
41,0.4932547
42,0.4725182
43,0.4526392
44,0.4335979
45,0.4153725
46,0.39794
47,0.3812763
48,0.3653562
49,0.3501541
50,0.3356442
51,0.3218003
52,0.3085964
53,0.2960066
54,0.2840055
55,0.2725678
56,0.2616691
57,0.2512852
58,0.241393
59,0.2319697
60,0.2229934
61,0.2144429
62,0.206298
63,0.198539
64,0.1911471
65,0.1841043
66,0.1773933
67,0.1709977
68,0.1649017
69,0.1590904
70,0.1535493
71,0.148265
72,0.1432244
73,0.1384152
74,0.1338258
75,0.1294451
76,0.1252625
77,0.121268
78,0.1174521
79,0.1138059
80,0.1103209
81,0.1069889
82,0.1038024
83,0.1007541
84,0.09783718
85,0.09504515
86,0.09237188
87,0.08981155
88,0.08735866
89,0.08500802
90,0.08275469
91,0.08059401
92,0.07852157
93,0.07653318
94,0.07462489
95,0.07279296
96,0.07103381
97,0.06934411
98,0.06772066
99,0.06616045
100,0.06466061
101,0.06321844
102,0.06183136
103,0.06049694
104,0.05921287
105,0.05797695
106,0.05678712
107,0.05564139
108,0.05453789
109,0.05347484
110,0.05245056
111,0.05146343
112,0.05051195
113,0.04959465
114,0.04871016
115,0.04785717
116,0.04703444
117,0.04624079
118,0.04547508
119,0.04473625
120,0.04402328
121,0.04333519
122,0.04267107
123,0.04203002
124,0.04141122
125,0.04081385
126,0.04023718
127,0.03968045
128,0.03914299
129,0.03862413
130,0.03812325
131,0.03763974
132,0.03717304
133,0.03672259
134,0.03628788
135,0.03586841
136,0.0354637
137,0.03507331
138,0.0346968
139,0.03433375
140,0.03398379
141,0.03364653
142,0.03332161
143,0.0330087
144,0.03270747
145,0.03241761
146,0.03213882
147,0.03187082
148,0.03161335
149,0.03136614
150,0.03112895
151,0.03090156
152,0.03068373
153,0.03047527
154,0.03027597
155,0.03008564
156,0.02990411
157,0.0297312
158,0.02956676
159,0.02941062
160,0.02926266
161,0.02912272
162,0.0289907
163,0.02886646
164,0.02874989
165,0.02864089
166,0.02853937
167,0.02844523
168,0.02835839
169,0.02827877
170,0.02820631
171,0.02814094
172,0.0280826
173,0.02803124
174,0.02798682
175,0.02794929
176,0.02791864
177,0.02789482
178,0.02787782
179,0.02786763
180,0.02786424
